الجنسية,المحافظة,المدينة,المنطقة,النوع,السكان
سعودي,ميسان,(القان) ابوضروه,مكة المكرمة,أنثى,8
سعودي,ميسان,(القان) ابوضروه,مكة المكرمة,ذكر,9
سعودي,المهد,آبار البدايع,المدينة المنورة,أنثى,17
سعودي,المهد,آبار البدايع,المدينة المنورة,ذكر,8
سعودي,المهد,آبار الخبره,المدينة المنورة,ذكر,7
سعودي,المهد,آبار الطويرفه,المدينة المنورة,أنثى,14
سعودي,المهد,آبار الطويرفه,المدينة المنورة,ذكر,23
سعودي,المهد,آبار العثيا (العثيمه),المدينة المنورة,أنثى,108
سعودي,المهد,آبار العثيا (العثيمه),المدينة المنورة,ذكر,88
غير سعودي,المهد,آبار العثيا (العثيمه),المدينة المنورة,ذكر,3
سعودي,المهد,آبار النخلات,المدينة المنورة,ذكر,3
سعودي,الحائط,آبار عوض,حائل,أنثى,12
سعودي,الحائط,آبار عوض,حائل,ذكر,17
سعودي,ينبع,آبار قصب,المدينة المنورة,أنثى,12
سعودي,ينبع,آبار قصب,المدينة المنورة,ذكر,16
غير سعودي,ينبع,آبار قصب,المدينة المنورة,ذكر,23
سعودي,المدينة المنورة (مقر الامارة),آبار مصلح,المدينة المنورة,أنثى,64
سعودي,المدينة المنورة (مقر الامارة),آبار مصلح,المدينة المنورة,ذكر,57
سعودي,السليمي,آبار وسمة,حائل,أنثى,13
سعودي,السليمي,آبار وسمة,حائل,ذكر,14
سعودي,ابها (مقر الإمارة),آل آم جيش,عسير,أنثى,25
سعودي,ابها (مقر الإمارة),آل آم جيش,عسير,ذكر,29
غير سعودي,ابها (مقر الإمارة),آل آم جيش,عسير,ذكر,3
سعودي,ابها (مقر الإمارة),آل آم صدامي,عسير,أنثى,17
سعودي,ابها (مقر الإمارة),آل آم صدامي,عسير,ذكر,19
سعودي,ابها (مقر الإمارة),آل أم سعيد,عسير,أنثى,18
سعودي,ابها (مقر الإمارة),آل أم سعيد,عسير,ذكر,25
سعودي,الحرجة,آل ابو قثرد,عسير,أنثى,9
سعودي,الحرجة,آل ابو قثرد,عسير,ذكر,10
سعودي,الحرجة,آل ابوسالم,عسير,أنثى,11
سعودي,الحرجة,آل ابوسالم,عسير,ذكر,14
سعودي,فيفا,آل اسلم,جازان,أنثى,88
سعودي,فيفا,آل اسلم,جازان,ذكر,83
غير سعودي,فيفا,آل اسلم,جازان,ذكر,5
سعودي,الحرجة,آل البقعاء,عسير,أنثى,11
سعودي,الحرجة,آل البقعاء,عسير,ذكر,16
سعودي,الحرجة,آل الحمري,عسير,أنثى,40
سعودي,الحرجة,آل الحمري,عسير,ذكر,42
غير سعودي,الحرجة,آل الحمري,عسير,ذكر,4
سعودي,الحرجة,آل الخرج,عسير,أنثى,49
غير سعودي,الحرجة,آل الخرج,عسير,أنثى,3
سعودي,الحرجة,آل الخرج,عسير,ذكر,35
غير سعودي,الحرجة,آل الخرج,عسير,ذكر,13
سعودي,الدائر,آل الزغلى,جازان,أنثى,10
سعودي,الدائر,آل الزغلى,جازان,ذكر,8
سعودي,الحرجة,آل السعن,عسير,أنثى,12
سعودي,الحرجة,آل السعن,عسير,ذكر,12
غير سعودي,الحرجة,آل السعن,عسير,ذكر,4
سعودي,ابها (مقر الإمارة),آل الشراع الاعلى والاسفل,عسير,أنثى,9
سعودي,ابها (مقر الإمارة),آل الشراع الاعلى والاسفل,عسير,ذكر,10
سعودي,الحرجة,آل الشقى,عسير,أنثى,3
سعودي,الحرجة,آل الشقى,عسير,ذكر,6
سعودي,النماص,آل الشيخيين وآل جرار,عسير,أنثى,137
غير سعودي,النماص,آل الشيخيين وآل جرار,عسير,أنثى,10
سعودي,النماص,آل الشيخيين وآل جرار,عسير,ذكر,117
غير سعودي,النماص,آل الشيخيين وآل جرار,عسير,ذكر,76
سعودي,سراة عبيدة,آل الصياح,عسير,أنثى,20
سعودي,سراة عبيدة,آل الصياح,عسير,ذكر,22
سعودي,الحرجة,آل الطويل,عسير,أنثى,35
سعودي,الحرجة,آل الطويل,عسير,ذكر,23
غير سعودي,الحرجة,آل الطويل,عسير,ذكر,36
سعودي,ابها (مقر الإمارة),آل العلاء ولجوه وسر البدله,عسير,أنثى,21
سعودي,ابها (مقر الإمارة),آل العلاء ولجوه وسر البدله,عسير,ذكر,25
سعودي,ابها (مقر الإمارة),آل القحيم,عسير,أنثى,15
سعودي,ابها (مقر الإمارة),آل القحيم,عسير,ذكر,19
سعودي,الحرجة,آل الميز,عسير,أنثى,11
سعودي,الحرجة,آل الميز,عسير,ذكر,14
سعودي,سراة عبيدة,آل الهتلان,عسير,أنثى,5
سعودي,سراة عبيدة,آل الهتلان,عسير,ذكر,6
سعودي,الحرجة,آل الواقدى (آل عامر),عسير,أنثى,20
سعودي,الحرجة,آل الواقدى (آل عامر),عسير,ذكر,20
غير سعودي,الحرجة,آل الواقدى (آل عامر),عسير,ذكر,3
سعودي,ابها (مقر الإمارة),آل ام سعلي والقلت,عسير,أنثى,56
غير سعودي,ابها (مقر الإمارة),آل ام سعلي والقلت,عسير,أنثى,5
سعودي,ابها (مقر الإمارة),آل ام سعلي والقلت,عسير,ذكر,61
غير سعودي,ابها (مقر الإمارة),آل ام سعلي والقلت,عسير,ذكر,15
سعودي,ابها (مقر الإمارة),آل بالعلاء,عسير,ذكر,5
سعودي,ابها (مقر الإمارة),آل بجاد,عسير,ذكر,6
سعودي,الحرجة,آل بحير,عسير,أنثى,70
غير سعودي,الحرجة,آل بحير,عسير,أنثى,6
سعودي,الحرجة,آل بحير,عسير,ذكر,68
غير سعودي,الحرجة,آل بحير,عسير,ذكر,46
سعودي,فيفا,آل برقان,جازان,أنثى,80
غير سعودي,فيفا,آل برقان,جازان,أنثى,3
سعودي,فيفا,آل برقان,جازان,ذكر,76
غير سعودي,فيفا,آل برقان,جازان,ذكر,6
سعودي,حوطة بنى تميم,آل بريك,الرياض,أنثى,430
غير سعودي,حوطة بنى تميم,آل بريك,الرياض,أنثى,9
سعودي,حوطة بنى تميم,آل بريك,الرياض,ذكر,425
غير سعودي,حوطة بنى تميم,آل بريك,الرياض,ذكر,41
سعودي,الحرجة,آل بو هيشه,عسير,أنثى,61
غير سعودي,الحرجة,آل بو هيشه,عسير,أنثى,5
