,الجنسية,المحافظة,المدينة,المنطقة,النوع,السكان
0,سعودي,ميسان,(القان) ابوضروه,مكة المكرمة,أنثى,8
1,سعودي,ميسان,(القان) ابوضروه,مكة المكرمة,ذكر,9
2,سعودي,المهد,آبار البدايع,المدينة المنورة,أنثى,17
3,سعودي,المهد,آبار البدايع,المدينة المنورة,ذكر,8
4,سعودي,المهد,آبار الخبره,المدينة المنورة,ذكر,7
5,سعودي,المهد,آبار الطويرفه,المدينة المنورة,أنثى,14
6,سعودي,المهد,آبار الطويرفه,المدينة المنورة,ذكر,23
7,سعودي,المهد,آبار العثيا (العثيمه),المدينة المنورة,أنثى,108
8,سعودي,المهد,آبار العثيا (العثيمه),المدينة المنورة,ذكر,88
9,غير سعودي,المهد,آبار العثيا (العثيمه),المدينة المنورة,ذكر,3
10,سعودي,المهد,آبار النخلات,المدينة المنورة,ذكر,3
11,سعودي,الحائط,آبار عوض,حائل,أنثى,12
12,سعودي,الحائط,آبار عوض,حائل,ذكر,17
13,سعودي,ينبع,آبار قصب,المدينة المنورة,أنثى,12
14,سعودي,ينبع,آبار قصب,المدينة المنورة,ذكر,16
15,غير سعودي,ينبع,آبار قصب,المدينة المنورة,ذكر,23
16,سعودي,المدينة المنورة (مقر الامارة),آبار مصلح,المدينة المنورة,أنثى,64
17,سعودي,المدينة المنورة (مقر الامارة),آبار مصلح,المدينة المنورة,ذكر,57
18,سعودي,السليمي,آبار وسمة,حائل,أنثى,13
19,سعودي,السليمي,آبار وسمة,حائل,ذكر,14
20,سعودي,ابها (مقر الإمارة),آل آم جيش,عسير,أنثى,25
21,سعودي,ابها (مقر الإمارة),آل آم جيش,عسير,ذكر,29
22,غير سعودي,ابها (مقر الإمارة),آل آم جيش,عسير,ذكر,3
23,سعودي,ابها (مقر الإمارة),آل آم صدامي,عسير,أنثى,17
24,سعودي,ابها (مقر الإمارة),آل آم صدامي,عسير,ذكر,19
25,سعودي,ابها (مقر الإمارة),آل أم سعيد,عسير,أنثى,18
26,سعودي,ابها (مقر الإمارة),آل أم سعيد,عسير,ذكر,25
27,سعودي,الحرجة,آل ابو قثرد,عسير,أنثى,9
28,سعودي,الحرجة,آل ابو قثرد,عسير,ذكر,10
29,سعودي,الحرجة,آل ابوسالم,عسير,أنثى,11
30,سعودي,الحرجة,آل ابوسالم,عسير,ذكر,14
31,سعودي,فيفا,آل اسلم,جازان,أنثى,88
32,سعودي,فيفا,آل اسلم,جازان,ذكر,83
